user_id,repo_id,rating,
26 ,1022 ,6,
26 ,4344 ,5,
26 ,6500 ,9,
26 ,7641 ,1,
26 ,8348 ,3,
26 ,11254 ,6,
26 ,24870 ,9,
26 ,28755 ,2,
26 ,29615 ,7,
26 ,30257 ,1,
26 ,61074 ,1,
26 ,81950 ,5,
26 ,117709 ,8,
26 ,126649 ,6,
26 ,147119 ,4,
26 ,158949 ,9,
26 ,165686 ,8,
26 ,202157 ,1,
26 ,212659 ,8,
26 ,525491 ,5,
26 ,991232 ,1,
26 ,1391421 ,3,
29 ,6 ,8,
29 ,17216 ,5,
29 ,34137 ,6,
29 ,48190 ,4,
29 ,686990 ,1,
29 ,898600 ,4,
45 ,6 ,7,
45 ,8529 ,1,
45 ,14073 ,1,
45 ,171188 ,8,
47 ,5 ,3,
47 ,6 ,9,
47 ,731 ,6,
47 ,1022 ,5,
47 ,1060 ,5,
47 ,1088 ,5,
47 ,1122 ,2,
47 ,1996 ,8,
47 ,2122 ,5,
47 ,2326 ,10,
47 ,2344 ,2,
47 ,2490 ,5,
47 ,2497 ,1,
47 ,2558 ,5,
47 ,2886 ,9,
47 ,3129 ,5,
47 ,3438 ,5,
47 ,3984 ,2,
47 ,5410 ,1,
47 ,5803 ,7,
47 ,5889 ,10,
47 ,6151 ,10,
47 ,6500 ,9,
47 ,6572 ,3,
47 ,6963 ,5,
47 ,7140 ,1,
47 ,7251 ,7,
47 ,8343 ,8,
47 ,8540 ,7,
47 ,8623 ,3,
47 ,9121 ,1,
47 ,9316 ,7,
47 ,9369 ,4,
47 ,9419 ,5,
47 ,10010 ,2,
47 ,10692 ,3,
47 ,10912 ,1,
47 ,11435 ,1,
47 ,11764 ,8,
47 ,11879 ,7,
47 ,12248 ,1,
47 ,12574 ,9,
47 ,14073 ,5,
47 ,14091 ,9,
47 ,15392 ,1,
47 ,18018 ,2,
47 ,18800 ,1,
47 ,18909 ,7,
47 ,20193 ,2,
47 ,21127 ,4,
47 ,24870 ,4,
47 ,24973 ,4,
47 ,25153 ,8,
47 ,25560 ,8,
47 ,26375 ,4,
47 ,26488 ,1,
47 ,26580 ,6,
47 ,27899 ,2,
47 ,28288 ,2,
47 ,28560 ,7,
47 ,29924 ,4,
47 ,32469 ,9,
47 ,35153 ,2,
47 ,35971 ,2,
47 ,37887 ,2,
47 ,38149 ,1,
47 ,38762 ,1,
47 ,43348 ,8,
47 ,46218 ,1,
47 ,52726 ,2,
47 ,52991 ,8,
47 ,54208 ,4,
47 ,56143 ,8,
47 ,61054 ,6,
47 ,65354 ,2,
47 ,69931 ,1,
47 ,75598 ,4,
47 ,77363 ,8,
47 ,89314 ,8,
47 ,93597 ,1,
47 ,107933 ,4,
47 ,112249 ,8,
47 ,113996 ,8,
47 ,118864 ,8,
47 ,132885 ,7,
47 ,135642 ,1,
47 ,147510 ,7,
47 ,150061 ,8,
47 ,151788 ,2,
47 ,167253 ,5,
47 ,178912 ,4,
47 ,191127 ,8,
47 ,203453 ,4,
47 ,207275 ,6,
47 ,218422 ,3,
47 ,254831 ,1,
47 ,371836 ,2,
47 ,382712 ,4,
47 ,387150 ,6,
47 ,451889 ,5,
47 ,458974 ,6,
47 ,534017 ,5,
47 ,604122 ,3,
47 ,610873 ,2,
47 ,665596 ,9,
47 ,734618 ,7,
47 ,757991 ,6,
47 ,822490 ,1,
47 ,887676 ,6,
47 ,897220 ,5,
47 ,903008 ,1,
47 ,912116 ,4,
47 ,952525 ,1,
47 ,1199123 ,1,
47 ,1319346 ,2,
47 ,1407769 ,3,
53 ,5 ,9,
53 ,1273 ,7,
53 ,1637 ,8,
53 ,1954 ,8,
53 ,2122 ,6,
53 ,4028 ,2,
53 ,6963 ,4,
53 ,8702 ,1,
53 ,9419 ,3,
53 ,10760 ,7,
53 ,11254 ,6,
53 ,11446 ,1,
53 ,11819 ,7,
53 ,13790 ,4,
53 ,17126 ,1,
53 ,18262 ,3,
53 ,26580 ,4,
53 ,29822 ,1,
53 ,29924 ,1,
53 ,30257 ,4,
53 ,47627 ,1,
53 ,54695 ,5,
53 ,61366 ,3,
53 ,80518 ,1,
53 ,119871 ,3,
53 ,126198 ,3,
53 ,133266 ,4,
53 ,146299 ,9,
53 ,151001 ,5,
53 ,151788 ,8,
53 ,428955 ,1,
53 ,475091 ,4,
53 ,516086 ,3,
53 ,518797 ,6,
53 ,893648 ,9,
53 ,952525 ,3,
67 ,10 ,2,
67 ,94 ,8,
67 ,14877 ,2,
67 ,20350 ,9,
67 ,48530 ,5,
67 ,71294 ,2,
67 ,85740 ,3,
67 ,147157 ,5,
67 ,770089 ,3,
67 ,901621 ,6,
84 ,109638 ,1,
84 ,1397971 ,7,
107 ,55920 ,6,
107 ,163398 ,6,
108 ,2941 ,3,
108 ,10912 ,7,
108 ,32136 ,8,
108 ,47197 ,8,
158 ,67060 ,3,
199 ,89081 ,4,
301 ,1088 ,4,
301 ,3852 ,8,
301 ,13758 ,1,
301 ,26802 ,7,
301 ,38314 ,7,
301 ,145252 ,5,
301 ,195130 ,9,
301 ,236033 ,9,
301 ,373898 ,2,
301 ,556822 ,2,
301 ,796037 ,7,
301 ,1359783 ,1,
304 ,251 ,1,
304 ,572 ,9,
304 ,1930 ,6,
304 ,2045 ,9,
304 ,2558 ,7,
304 ,4909 ,4,
304 ,5525 ,5,
304 ,6597 ,7,
304 ,11005 ,1,
304 ,14073 ,6,
304 ,14342 ,3,
304 ,14877 ,1,
304 ,26402 ,6,
304 ,26667 ,3,
304 ,32760 ,5,
304 ,53557 ,9,
304 ,59325 ,8,
304 ,77960 ,4,
304 ,80976 ,7,
304 ,111933 ,6,
304 ,141406 ,8,
304 ,580839 ,9,
304 ,838473 ,1,
314 ,380 ,1,
314 ,22975 ,1,
314 ,23283 ,1,
314 ,28743 ,7,
314 ,117774 ,8,
314 ,146299 ,4,
314 ,366522 ,3,
314 ,479616 ,3,
314 ,734902 ,5,
314 ,893648 ,8,
366 ,11446 ,3,
366 ,14073 ,6,
366 ,21127 ,2,
366 ,31689 ,3,
366 ,54205 ,3,
366 ,93821 ,8,
366 ,217519 ,6,
366 ,243511 ,4,
366 ,281347 ,7,
370 ,147157 ,6,
370 ,438412 ,9,
370 ,770089 ,5,
372 ,770 ,1,
372 ,914 ,5,
372 ,11879 ,4,
372 ,27170 ,5,
372 ,35120 ,2,
372 ,55639 ,4,
372 ,56982 ,9,
372 ,77294 ,2,
372 ,123684 ,3,
372 ,169311 ,7,
372 ,518718 ,3,
372 ,808584 ,8,
380 ,5219 ,5,
380 ,47034 ,8,
380 ,59688 ,3,
380 ,101936 ,1,
380 ,105448 ,4,
380 ,194456 ,6,
380 ,211179 ,1,
380 ,519856 ,9,
448 ,380 ,7,
448 ,572 ,4,
448 ,1139 ,8,
448 ,1996 ,4,
448 ,4388 ,4,
448 ,4420 ,4,
448 ,4454 ,7,
448 ,6317 ,3,
448 ,8029 ,7,
448 ,8540 ,3,
448 ,11305 ,7,
448 ,12075 ,3,
448 ,12546 ,1,
448 ,14053 ,1,
448 ,14550 ,3,
448 ,14968 ,9,
448 ,15592 ,5,
448 ,17126 ,5,
448 ,17327 ,7,
448 ,26992 ,8,
448 ,27391 ,5,
448 ,29317 ,5,
448 ,29924 ,6,
448 ,34797 ,1,
448 ,35294 ,1,
448 ,42104 ,5,
448 ,56936 ,5,
448 ,59325 ,4,
448 ,60167 ,1,
448 ,77985 ,3,
448 ,85623 ,4,
